City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.9167,5.06,75,40,12.35,CL,1686424446
1,bilibino,68.0546,166.4372,17.17,39,10,1.52,RU,1686424446
2,saint-francois,46.4154,3.9054,21.69,73,0,1.54,FR,1686424446
3,port-aux-francais,-49.35,70.2167,3.65,57,100,13.14,TF,1686424446
4,blackmans bay,-43.0167,147.3167,10.29,81,98,2.2,AU,1686424447
5,kousseri,12.0769,15.0306,32.21,43,100,4.36,CM,1686424447
6,khovd,48.0056,91.6419,22.26,27,59,1.36,MN,1686424447
7,sola,-13.8833,167.55,25.08,78,100,10.8,VU,1686424447
8,labrador city,52.9463,-66.9114,17.95,48,100,0.0,CA,1686424447
9,west island,-12.1568,96.8225,24.99,94,75,9.35,CC,1686424448
10,tolanaro,-25.0319,46.9987,19.59,87,0,1.66,MG,1686424181
11,anadyr,64.75,177.4833,5.28,75,0,4.0,RU,1686424448
12,avarua,-21.2078,-159.775,26.03,83,0,1.54,CK,1686424448
13,aasiaat,68.7098,-52.8699,3.82,73,100,14.32,GL,1686424448
14,villemur-sur-tarn,43.8671,1.5028,27.31,76,81,3.27,FR,1686424448
15,crane,31.3974,-102.3501,35.28,10,0,6.65,US,1686424448
16,bethel,41.3712,-73.414,24.64,48,40,3.6,US,1686424448
17,port mathurin,-19.6833,63.4167,24.69,73,42,10.62,MU,1686424449
18,iqaluit,63.7506,-68.5145,3.85,69,75,11.32,CA,1686424449
19,ribeira grande,38.5167,-28.7,20.22,60,20,4.12,PT,1686424449
20,talnakh,69.4865,88.3972,2.34,64,0,2.23,RU,1686424449
21,adamstown,-25.066,-130.1015,20.5,55,99,5.99,PN,1686424449
22,porto novo,6.4965,2.6036,25.9,91,93,4.16,BJ,1686424449
23,wailua homesteads,22.0669,-159.378,26.24,79,75,5.14,US,1686424449
24,selfoss,63.9331,-20.9971,10.02,55,9,6.46,IS,1686424449
25,invercargill,-46.4,168.35,5.8,93,100,2.98,NZ,1686424339
26,chonchi,-42.6128,-73.8092,7.84,79,78,2.55,CL,1686424450
27,olonkinbyen,70.9221,-8.7187,1.9,94,100,6.67,SJ,1686424450
28,grytviken,-54.2811,-36.5092,0.59,99,100,1.47,GS,1686424450
29,hamilton,39.1834,-84.5333,29.99,32,0,4.12,US,1686424450
30,graham,47.0529,-122.2943,13.66,91,100,2.57,US,1686424450
31,weno,7.4515,151.8468,25.23,91,100,1.82,FM,1686424450
32,edinburgh of the seven seas,-37.0676,-12.3116,14.94,81,69,6.01,SH,1686424450
33,sos'va,59.1766,61.8558,9.47,71,100,4.06,RU,1686424451
34,goz beida,13.95,20.55,28.63,52,92,2.8,TD,1686424451
35,awjilah,29.1081,21.2869,29.59,22,0,3.05,LY,1686424451
36,stanley,54.868,-1.6985,17.5,71,0,4.63,GB,1686424451
37,darhan,49.4867,105.9228,18.18,37,56,0.83,MN,1686424451
38,angaur state,6.906,134.13,28.57,75,100,3.6,PW,1686424451
39,puerto natales,-51.7236,-72.4875,7.25,53,40,11.83,CL,1686424451
40,yellowknife,62.456,-114.3525,15.29,72,100,4.12,CA,1686424386
41,st. john's,47.5649,-52.7093,9.88,97,100,1.03,CA,1686423969
42,san patricio,28.017,-97.5169,35.65,40,11,4.93,US,1686424227
43,nahiyat ash shinafiyah,31.5874,44.6602,32.65,33,100,11.12,IQ,1686424452
44,mpika,-11.8343,31.4529,15.65,58,8,1.43,ZM,1686424452
45,coahuayana de hidalgo,18.7,-103.6583,32.15,56,92,3.4,MX,1686424452
46,lihue,21.9789,-159.3672,26.58,74,75,5.14,US,1686424452
47,waitangi,-43.9535,-176.5597,11.57,88,98,1.34,NZ,1686424452
48,utrik,11.2278,169.8474,27.67,83,100,7.44,MH,1686424453
49,puerto ayora,-0.7393,-90.3518,28.98,91,95,4.02,EC,1686424453
50,qaqortoq,60.7167,-46.0333,6.8,58,98,2.2,GL,1686424453
51,kapuskasing,49.4169,-82.4331,9.05,76,100,4.63,CA,1686424305
52,lompoc,34.6391,-120.4579,19.32,81,100,3.09,US,1686424453
53,hermanus,-34.4187,19.2345,10.45,75,7,1.52,ZA,1686424453
54,saipan,15.1355,145.701,27.39,100,0,2.57,MP,1686424453
55,xilin hot,43.9667,116.0333,9.72,89,57,2.56,CN,1686424453
56,bangassou,4.7413,22.8184,23.09,81,100,0.56,CF,1686424454
57,carrigaline,51.8117,-8.3986,16.86,100,100,3.6,IE,1686424454
58,bamboo flat,11.7,92.7167,27.88,85,100,8.43,IN,1686424454
59,pisco,-13.7,-76.2167,23.03,64,20,4.63,PE,1686424258
60,carnarvon,-24.8667,113.6333,19.73,68,5,5.09,AU,1686424274
61,bredasdorp,-34.5322,20.0403,11.93,83,7,0.34,ZA,1686424454
62,altai,46.3722,96.2583,15.14,40,5,0.74,MN,1686424454
63,taos,36.4072,-105.5731,25.86,17,0,3.58,US,1686424455
64,afaahiti,-17.75,-149.2833,24.93,75,92,6.79,PF,1686424455
65,xunchang,28.4543,104.715,20.14,66,100,2.14,CN,1686424455
66,ola,59.5833,151.2833,6.12,90,47,1.35,RU,1686424455
67,thompson,55.7435,-97.8558,22.09,30,40,5.66,CA,1686424298
68,odienne,9.51,-7.5692,22.62,91,100,2.31,CI,1686424455
69,tiksi,71.6872,128.8694,3.54,73,79,3.83,RU,1686424455
70,kangding,30.0513,101.9603,8.49,90,100,0.54,CN,1686424456
71,lebu,-37.6167,-73.65,10.59,66,33,7.29,CL,1686424456
72,kiunga,-6.1219,141.2906,21.85,100,96,0.91,PG,1686424456
73,quellon,-43.1167,-73.6167,9.14,61,75,1.03,CL,1686424456
74,kununurra,-15.7667,128.7333,17.99,88,100,0.0,AU,1686424456
75,mount gambier,-37.8333,140.7667,8.75,97,25,2.81,AU,1686424158
76,perryton,36.4,-100.8027,28.44,46,0,0.0,US,1686424456
77,winnemucca,40.973,-117.7357,23.03,38,0,0.0,US,1686424456
78,millersville,39.9979,-76.3541,28.85,36,20,2.06,US,1686424457
79,stepnogorsk,52.3544,71.8869,13.0,84,2,1.66,KZ,1686424457
80,sandnessjoen,66.0217,12.6316,17.29,77,22,3.78,NO,1686424457
81,axim,4.8699,-2.2405,25.53,83,100,6.39,GH,1686424457
82,tazovsky,67.4667,78.7,7.12,54,98,4.57,RU,1686424457
83,boende,-0.2167,20.8667,25.5,72,89,0.41,CD,1686424457
84,shubarkuduk,49.1447,56.4872,21.38,31,60,4.8,KZ,1686424457
85,siemiatycze,52.4272,22.8623,17.39,59,92,6.07,PL,1686424457
86,conduaga,8.862,117.4893,26.29,89,93,2.73,PH,1686424458
87,hadibu,12.65,54.0333,28.66,78,100,7.66,YE,1686424458
88,lerwick,60.1545,-1.1494,13.0,79,25,7.32,GB,1686424339
89,mayma,52.0197,85.9114,11.58,97,100,1.57,RU,1686424458
90,nova sintra,14.8667,-24.7167,22.29,80,14,6.16,CV,1686424458
91,margaret river,-33.95,115.0667,13.13,69,100,8.83,AU,1686424458
92,vredendal,-31.6683,18.5012,13.96,72,0,1.83,ZA,1686424458
93,albany,42.6001,-73.9662,22.32,56,87,0.45,US,1686424458
94,ushuaia,-54.8,-68.3,5.79,65,20,3.6,AR,1686424459
95,afif,23.9065,42.9172,34.59,10,70,4.69,SA,1686424459
96,hilo,19.7297,-155.09,26.64,71,40,1.79,US,1686424459
97,vorgashor,67.5833,63.95,8.88,85,100,1.81,RU,1686424459
98,tsiombe,-25.3,45.4833,18.93,94,0,0.86,MG,1686424459
99,dalnerechensk,45.9339,133.7225,12.13,96,88,1.93,RU,1686424459
100,port elizabeth,-33.918,25.5701,14.16,91,0,3.6,ZA,1686424459
101,bejaia,36.7559,5.0843,22.6,64,0,2.57,DZ,1686424459
102,labytnangi,66.6572,66.4183,9.78,91,100,4.73,RU,1686424460
103,hailar,49.2,119.7,10.26,91,9,1.72,CN,1686424460
104,arauquita,7.0292,-71.4281,31.47,58,35,0.48,CO,1686424460
105,yelizovo,53.1873,158.3805,12.08,57,40,2.0,RU,1686424460
106,santo domingo,18.5001,-69.9886,32.82,75,40,5.14,DO,1686423731
107,georgetown,5.4112,100.3354,27.96,83,20,0.0,MY,1686424331
108,jamestown,42.097,-79.2353,25.01,40,75,6.17,US,1686424460
109,nar'yan-mar,67.6713,53.087,2.92,80,75,8.34,RU,1686424461
110,argamasilla de calatrava,38.7384,-4.015,25.75,47,100,3.34,ES,1686424461
111,champerico,14.3,-91.9167,33.3,68,79,3.89,GT,1686424461
112,vorkuta,67.5,64.0,9.17,85,100,2.24,RU,1686424461
113,mitchell,43.7094,-98.0298,20.41,88,100,1.54,US,1686424411
114,howrah,22.5892,88.3103,29.0,89,75,2.57,IN,1686424461
115,flying fish cove,-10.4217,105.6791,24.82,88,100,5.14,CX,1686424462
116,geraldton,-28.7667,114.6,14.23,100,40,4.63,AU,1686424462
117,kodiak,57.79,-152.4072,7.73,93,100,6.69,US,1686424247
118,mar del plata,-38.0023,-57.5575,12.83,53,40,8.23,AR,1686424462
119,ocean shores,46.9737,-124.1563,16.32,86,100,5.66,US,1686424288
120,sittwe,20.15,92.9,27.95,73,100,2.46,MM,1686424462
121,port lincoln,-34.7333,135.8667,12.76,65,5,4.32,AU,1686424462
122,aksu,41.1231,80.2644,27.7,18,57,2.4,CN,1686424462
123,dudinka,69.4058,86.1778,2.57,54,37,1.49,RU,1686424463
124,isafjordur,66.0755,-23.124,6.45,67,5,6.57,IS,1686424463
125,hawaiian paradise park,19.5933,-154.9731,26.52,74,40,0.0,US,1686424463
126,san pedro pochutla,15.7333,-96.4667,34.84,51,56,4.68,MX,1686424463
127,leninskoye,41.7589,69.3864,23.56,45,25,2.89,KZ,1686424463
128,kinwat,19.6333,78.2,33.94,34,47,5.75,IN,1686424463
129,san juan bautista,-14.0108,-75.7358,26.76,39,0,3.06,PE,1686424463
130,nadi,-17.8,177.4167,21.0,73,40,4.12,FJ,1686424464
131,kasongo-lunda,-6.4667,16.8167,23.49,83,45,0.23,CD,1686424464
132,happy valley-goose bay,53.3168,-60.3315,19.17,59,20,3.09,CA,1686424464
133,ulladulla,-35.35,150.4667,7.94,74,0,1.84,AU,1686424464
134,chernyshevsk,52.5243,117.0174,12.2,81,8,1.21,RU,1686424464
135,nuku'alofa,-21.1333,-175.2,18.19,94,75,1.54,TO,1686424464
136,nemuro,43.3236,145.575,9.46,97,78,1.61,JP,1686424465
137,santana,-0.0583,-51.1817,31.1,66,40,5.66,BR,1686424326
138,urrao,6.3152,-76.1342,19.94,82,82,0.63,CO,1686424465
139,papatowai,-46.5619,169.4708,6.3,67,84,2.42,NZ,1686424465
140,kone,-21.0595,164.8658,17.86,82,0,2.13,NC,1686424465
141,bushehr,28.9684,50.8385,34.05,52,0,3.09,IR,1686424465
142,verdal,63.7933,11.4817,17.02,68,16,1.54,NO,1686424465
143,holualoa,19.6228,-155.9522,24.91,84,40,4.63,US,1686424465
144,kavaratti,10.5669,72.642,29.61,78,100,9.79,IN,1686424466
145,palmer,42.1584,-72.3287,23.41,45,75,2.06,US,1686424466
146,ma'rib,15.4591,45.3253,32.14,12,100,4.08,YE,1686424466
147,cobija,-11.0267,-68.7692,31.8,50,26,2.3,BO,1686424466
148,toliara,-23.35,43.6667,21.36,81,0,0.41,MG,1686424466
149,fort bragg,35.139,-79.006,31.22,29,75,3.09,US,1686424466
150,papao,-17.75,-149.55,25.82,72,48,6.9,PF,1686424466
151,touros,-5.1989,-35.4608,27.99,69,0,6.39,BR,1686424466
152,mumford,5.2618,-0.759,25.34,84,100,5.39,GH,1686424467
153,peace river,56.2501,-117.286,24.17,53,100,4.12,CA,1686424467
154,gaspra,44.4333,34.1,17.33,92,4,2.32,UA,1686424467
155,coquimbo,-29.9533,-71.3436,16.85,67,0,4.63,CL,1686424105
156,ad dawadimi,24.5077,44.3924,30.64,10,1,3.98,SA,1686424467
157,regina,50.4501,-104.6178,21.06,45,0,6.17,CA,1686424292
158,east ballina,-28.8667,153.5833,9.33,86,89,2.74,AU,1686424467
159,betio village,1.358,172.9211,29.02,74,65,4.4,KI,1686424467
160,kokuy,52.2037,117.5529,13.8,77,41,0.77,RU,1686424468
161,villa gesell,-37.2639,-56.973,12.81,50,0,8.71,AR,1686424242
162,balykshi,47.0667,51.8667,23.0,27,0,4.0,KZ,1686424468
163,douglas,41.3,-96.167,26.1,55,75,3.09,US,1686424468
164,grand baie,-20.0182,57.5802,24.14,67,1,1.34,MU,1686424468
165,longyearbyen,78.2186,15.6401,3.91,87,75,1.54,SJ,1686424288
166,yarkovo,57.4028,67.0786,11.24,70,1,3.18,RU,1686424468
167,ust-nera,64.5667,143.2,12.67,76,100,2.3,RU,1686424469
168,udachny,66.4167,112.4,10.25,100,97,1.79,RU,1686424469
169,newman,37.3138,-121.0208,22.79,10,100,0.68,US,1686424469
170,sao joao da barra,-21.6403,-41.0511,30.05,64,0,3.89,BR,1686424469
171,puerto carreno,6.189,-67.4859,32.42,54,39,1.57,CO,1686424469
172,kudahuvadhoo,2.6708,72.8944,27.92,79,100,2.71,MV,1686424469
173,ujae,8.9322,165.7642,27.82,79,100,5.93,MH,1686424469
174,carauari,-4.8828,-66.8958,30.79,64,59,1.01,BR,1686424469
175,ixtapa,20.7,-105.2,29.57,66,0,6.17,MX,1686424470
176,whitehorse,60.7161,-135.0538,16.43,30,40,8.23,CA,1686424324
177,bandipura,34.4167,74.65,16.75,53,74,2.63,IN,1686424470
178,sibiti,-3.6819,13.3499,21.75,95,85,0.38,CG,1686424470
179,santiago de cuba,20.0247,-75.8219,30.06,74,40,4.63,CU,1686424470
180,laguna,38.421,-121.4238,25.19,56,0,3.6,US,1686424470
181,la foa,-21.7108,165.8276,17.76,75,0,1.76,NC,1686424470
182,flin flon,54.7682,-101.865,19.91,32,40,2.57,CA,1686424470
183,mount pearl,47.5166,-52.7813,10.19,98,100,4.12,CA,1686424471
184,wanganui,-39.9333,175.05,2.55,94,5,0.89,NZ,1686424471
185,trinidad,-14.8333,-64.9,32.99,58,20,5.14,BO,1686424471
186,abeche,13.8292,20.8324,27.85,55,77,4.26,TD,1686424471
187,badger,64.8,-147.5333,19.65,48,0,4.12,US,1686424471
188,las tablas,7.7667,-80.2833,27.32,99,100,4.49,PA,1686424471
189,honefoss,60.168,10.2565,20.84,36,0,2.43,NO,1686424471
190,kitimat,54.0524,-128.6534,22.05,60,100,1.79,CA,1686424256
191,chalatenango,14.0333,-88.9333,31.42,50,97,1.39,SV,1686424472
192,vila franca do campo,37.7167,-25.4333,20.23,71,11,5.11,PT,1686424472
193,nkongsamba,4.9547,9.9404,19.81,99,89,0.79,CM,1686424472
194,konotop,51.2403,33.2026,15.19,92,100,8.11,UA,1686424472
195,ancud,-41.8697,-73.8203,8.63,70,71,4.17,CL,1686424472
196,ciudad lazaro cardenas,17.9583,-102.2,31.16,53,57,5.0,MX,1686424472
197,iskateley,67.6803,53.1512,2.97,79,82,8.22,RU,1686424472
198,biga,40.2281,27.2422,18.72,62,100,0.14,TR,1686424473
199,tadine,-21.55,167.8833,20.53,62,89,4.34,NC,1686424473
200,klyuchi,52.2667,79.1667,13.68,77,0,2.57,RU,1686424473
201,suva,-18.1416,178.4415,18.71,100,75,1.54,FJ,1686424473
202,chibougamau,49.9168,-74.3659,15.79,67,100,1.54,CA,1686424473
203,posto fiscal rolim de moura,-13.0833,-62.2667,29.13,62,99,0.34,BR,1686424473
204,ostrow wielkopolski,51.655,17.8069,17.23,60,2,4.14,PL,1686424473
205,san rafael,-34.6177,-68.3301,11.3,28,30,3.16,AR,1686424395
206,keflavik,64.0049,-22.5624,8.95,66,75,8.75,IS,1686424474
207,kruisfontein,-34.0033,24.7314,11.05,71,0,1.78,ZA,1686424474
208,dakhla,23.6848,-15.958,24.01,73,0,7.72,EH,1686424474
209,khulm,36.6974,67.6983,30.95,23,4,2.84,AF,1686424474
210,cockburn town,21.4612,-71.1419,28.04,82,35,5.51,TC,1686424474
211,constantia,44.1833,28.65,18.38,87,88,1.78,RO,1686424474
212,mlimba,-8.8,35.8167,21.18,84,8,1.42,TZ,1686424474
213,mbaiki,3.8678,17.9892,21.81,86,100,0.97,CF,1686424474
214,eyl,7.9803,49.8164,26.82,80,67,10.83,SO,1686424475
215,inhambane,-23.865,35.3833,19.99,77,20,2.06,MZ,1686424475
216,kidal,18.4411,1.4078,37.71,16,0,3.35,ML,1686424475
217,ilulissat,69.2167,-51.1,3.01,100,75,0.51,GL,1686424475
218,lyepyel',54.8814,28.6932,10.96,58,42,3.74,BY,1686424391
219,gornopravdinsk,60.05,69.9,9.98,88,48,3.15,RU,1686424475
220,vernon,50.2581,-119.2691,23.5,73,61,0.51,CA,1686424475
221,cabadbaran,9.1236,125.5344,25.2,89,100,1.7,PH,1686424475
222,puerto baquerizo moreno,-0.9,-89.6,28.55,74,75,5.14,EC,1686424208
223,college,64.8569,-147.8028,19.7,51,40,4.12,US,1686424185
224,mongo,12.1844,18.693,29.22,54,58,1.3,TD,1686424476
225,amphoe sikhiu,14.8994,101.7083,26.0,76,100,3.43,TH,1686424476
226,ketchikan,55.3422,-131.6461,14.26,72,20,5.14,US,1686424476
227,taoudenni,22.6783,-3.9836,39.62,11,0,4.94,ML,1686424476
228,morondava,-20.2833,44.2833,22.04,84,0,5.44,MG,1686424476
229,sinop,41.7711,34.8709,13.81,91,5,0.42,TR,1686424476
230,alice springs,-23.7,133.8833,15.75,23,100,1.03,AU,1686424395
231,susuman,62.7833,148.1667,13.06,70,49,1.26,RU,1686424477
232,esmeralda,21.8525,-78.1169,29.64,71,76,5.41,CU,1686424477
233,tera,14.0078,0.7531,35.89,30,94,4.0,NE,1686424477
234,lata,40.1629,-8.3327,21.62,70,56,1.84,PT,1686424477
235,san fernando del valle de catamarca,-28.4696,-65.7852,17.45,39,59,1.79,AR,1686424477
236,brookings,44.3114,-96.7984,24.14,73,20,3.6,US,1686424477
237,phillip island,-38.4835,145.231,13.04,86,83,7.01,AU,1686424477
238,madimba,-10.4,40.3333,23.81,89,0,2.91,TZ,1686424478
239,redencao,-4.2258,-38.7306,27.66,78,71,1.62,BR,1686424478
240,galveston,29.3669,-94.9669,33.92,66,0,8.75,US,1686424478
241,bodo,67.28,14.405,12.02,71,0,4.63,NO,1686424478
242,maun,-19.9833,23.4167,18.36,20,5,3.13,BW,1686424478
243,ruidoso,33.3317,-105.673,27.09,12,0,4.63,US,1686424478
244,castillos,-34.1667,-53.8333,14.75,49,100,3.86,UY,1686424478
245,kerikeri,-35.2268,173.9474,7.58,93,73,1.8,NZ,1686424222
246,road town,18.4167,-64.6167,31.05,70,40,4.63,VG,1686424442
247,parabel',58.6978,81.4825,9.25,58,0,2.15,RU,1686424478
248,prnjavor,44.8703,17.6628,19.59,92,100,0.6,BA,1686424479
249,kingston,17.997,-76.7936,31.78,74,100,6.71,JM,1686424210
250,childress,34.4264,-100.204,30.14,45,0,2.57,US,1686424229
251,aur,8.1499,171.1687,28.29,82,39,7.87,MH,1686424479
252,lorengau,-2.0226,147.2712,27.3,78,31,1.72,PG,1686424479
253,stewartville,43.8555,-92.4885,27.15,39,75,2.06,US,1686424479
254,bardai,11.65,7.2333,25.1,70,100,5.87,NG,1686424479
255,walvis bay,-22.9575,14.5053,12.83,80,1,4.62,NA,1686424479
256,manicore,-5.8092,-61.3003,29.97,74,0,1.03,BR,1686424479
257,bubaque,11.2833,-15.8333,27.8,79,1,8.3,GW,1686424196
258,tsukawaki,33.2667,131.15,19.84,99,100,1.33,JP,1686424480
259,panjakent,39.4952,67.6093,22.67,49,4,1.72,TJ,1686424480
260,kondopoga,62.2057,34.2614,7.82,67,21,1.78,RU,1686424480
261,kavalerovo,44.2661,135.0572,12.37,97,97,0.18,RU,1686424480
262,wuchang,44.9143,127.15,13.01,91,100,2.81,CN,1686424480
263,rongelap,11.1635,166.8941,27.79,81,100,6.91,MH,1686424480
264,souillac,-20.5167,57.5167,23.21,73,20,3.6,MU,1686424480
265,nantucket,41.2835,-70.0995,21.03,80,40,3.6,US,1686424481
266,usinsk,65.9939,57.5281,2.27,96,100,9.0,RU,1686424481
267,siler city,35.7235,-79.4622,30.76,36,75,4.12,US,1686424481
268,guerrero negro,27.9769,-114.0611,20.25,57,100,7.0,MX,1686424481
269,jaguarao,-32.5661,-53.3758,13.38,84,100,2.8,BR,1686424481
270,dehui,44.5333,125.7,14.49,71,97,1.0,CN,1686424481
271,yuzhno-kurilsk,44.0306,145.8556,9.06,98,99,1.03,RU,1686424481
272,port saint john's,-31.6229,29.5448,15.36,70,0,2.44,ZA,1686424481
273,caleta de carquin,-11.0925,-77.6267,23.26,70,8,5.37,PE,1686424482
274,new norfolk,-42.7826,147.0587,10.95,88,100,1.77,AU,1686424482
275,lehigh acres,26.6254,-81.6248,33.9,55,0,5.66,US,1686424441
276,hithadhoo,-0.6,73.0833,28.18,77,8,3.91,MV,1686424482
277,myrina,39.8797,25.0742,21.58,68,0,2.06,GR,1686424482
278,sisimiut,66.9395,-53.6735,7.21,55,100,16.99,GL,1686424482
279,menongue,-14.6585,17.691,15.83,34,1,0.89,AO,1686424482
